category,cost,cuisine,featured,location,names,rating,reviews,urls
Casual Dining,Rs. 750,"Chinese,North Indian,Kebab,Mughlai,Malwani",,Mulund West,"Shloka Dining Bar
                                    ","4.0,4.1",,https://www.zomato.com/mumbai/shloka-dining-bar-mulund-west
"Casual Dining,Bar","Rs. 2,100","North Indian,Continental","Rooftops,Beer in a Bar","Hotel Yogi Executive, Vashi","The Roof Top - Yogi Executive
                                    ",4.1,"(1,044 Reviews)",https://www.zomato.com/mumbai/the-roof-top-yogi-executive-vashi-navi-mumbai
Casual Dining,"Rs. 1,600","North Indian,Continental,Asian,Italian","
                                                                                        10% off on all orders above ₹300
                                        ",Kopar Khairane,"Nau Se Barah 9/12
                                    ","4.2,4.0",,https://www.zomato.com/mumbai/nau-se-barah-9-12-kopar-khairane-navi-mumbai
Bakery,Rs. 250,"Bakery,Street Food",,"7 Bungalows, Andheri West","D Light Cake Shop
                                    ",4.1,(268 Reviews),https://www.zomato.com/mumbai/d-light-cake-shop-7-bungalows
Casual Dining,Rs. 700,"South Indian,North Indian,Chinese,Fast Food",,Dombivali East,"Kamaths Govindashram
                                    ","4.0,4.1",,https://www.zomato.com/mumbai/kamaths-govindashram-dombivali-east
Quick Bites,Rs. 400,Fast Food,,"Manpada, Thane West","Hemant Snacks
                                    ",4.1,(236 Reviews),https://www.zomato.com/mumbai/hemant-snacks-manpada-thane-west
Casual Dining,"Rs. 1,300","Italian,Mexican",Best of Mumbai,Lower Parel,"Quattro Ristorante
                                    ","4.5,3.7",,https://www.zomato.com/mumbai/quattro-ristorante-lower-parel
Café,Rs. 600,"Cafe,Italian,Desserts,Chinese,Pizza,Beverages",,Dombivali East,"The Food Town
                                    ","4.1,4.0",,https://www.zomato.com/mumbai/the-food-town-dombivali-east-thane
,Rs. 200,Gujarati,,Kandivali West,"Touch Of Gujarat
                                    ",4.1,(232 Reviews),https://www.zomato.com/mumbai/touch-of-gujarat-kandivali-west
Quick Bites,Rs. 300,"Fast Food,Beverages",,Vashi,"Eggiterain Cafe
                                    ","4.0,4.1",,https://www.zomato.com/mumbai/eggiterain-cafe-vashi-navi-mumbai
Café,"Rs. 1,000","Cafe,Pizza,Chinese,Fast Food,Italian,Tea,Desserts,Beverages",,"Hill Road, Bandra West","Tea Villa Cafe
                                    ","4.3,3.8",,https://www.zomato.com/mumbai/tea-villa-cafe-hill-road-bandra-west
"Dessert Parlor,Bakery",Rs. 250,"Desserts,Bakery",,"Korum Mall, Khopat, Thane West","Cakes & Candles
                                    ",4.1,(106 Reviews),https://www.zomato.com/mumbai/cakes-candles-khopat-thane-west-thane
,Rs. 700,"Chinese,North Indian,Malwani,Biryani,Mughlai",,Mulund West,"Dum & Curry
                                    ",4.1,"(1,011 Reviews)",https://www.zomato.com/mumbai/dum-curry-mulund-west
Bakery,Rs. 350,"Bakery,Desserts",,Parel,"Dasilas Cake Shop
                                    ","3.8,4.3",,https://www.zomato.com/mumbai/dasilas-cake-shop-parel
Quick Bites,Rs. 400,"Chinese,North Indian,Street Food",,Mumbai CST Area,"Badshah Cold Drinks
                                    ",4.1,(710 Reviews),https://www.zomato.com/mumbai/badshah-cold-drinks-cst
,Rs. 500,North Indian,,Worli,"The Tandoor Tale
                                    ",4.1,"(1,366 Reviews)",https://www.zomato.com/mumbai/the-tandoor-tale-worli
"Bar,Casual Dining","Rs. 1,800","Italian,Asian,Continental,Modern Indian","Up to 40% OFF,
                                                                                        20% off on your first order
                                        ","Andheri Lokhandwala, Andheri West","Same Place Same Time
                                    ","4.2,3.9",,https://www.zomato.com/mumbai/same-place-same-time-andheri-lokhandwala
